form	inputs	expected	actual_or_result	exit_code
baseline_no_return	flag=1	1	1	0
top_level_return	flag=1	1	1	0
top_level_value_return	flag=1	1	99	1
dynamic_if_return_last	flag=1	flag branch expected 1	1	0
dynamic_if_return_last	flag=0	else branch expected 2	2	0
dynamic_if_return_after	flag=1	1	3	1
dynamic_if_return_after	flag=0	3	3	0
dynamic_if_state_return	flag=1	1	0	1
dynamic_if_state_return	flag=0	0	0	0
for_return_after	range=2	10	99	1
while_return_after	offset=2	2	empty log before timeout	124
nested_if_return_after	flag=1	1	4	1
nested_if_return_after	flag=0	4	4	0
constexpr_if_return_after	flag_const=1	1	1	0
constexpr_if_return_after	flag_const=0	2	2	0
constexpr_for_return_after	range=2	10	10	0
